,Policy,S,N,CD,TCR,Energy
0,local_cont,False,False,5.76,100.0,113.48
1,local_cont,False,True,5.75,100.0,113.48
2,local_cont,True,False,5.87,100.0,113.48
3,local_cont,True,True,5.67,97.14,113.48
4,Shield2_early,False,False,5.77,100.0,77.57
5,Shield2_early,False,True,5.69,100.0,78.88
6,Shield2_early,True,False,5.72,100.0,77.49
7,Shield2_early,True,True,5.78,100.0,77.93
8,Shield2_belay,False,False,5.79,100.0,39.69
9,Shield2_belay,False,True,5.73,100.0,40.8
10,Shield2_belay,True,False,5.76,100.0,40.08
11,Shield2_belay,True,True,5.67,97.14,39.77
