Wall time,Step,Value
1589827143.7623842,5,2175.824951171875
1589827357.080165,18,1796.5594482421875
1589827463.7665775,24,1970.091552734375
1589827711.664116,40,1686.184814453125
1589827731.4151585,42,1195.93212890625
1589827765.9185247,45,2547.563720703125
1589827858.9091985,53,1251.8388671875
1589827903.1005101,56,969.7967529296875
1589828081.5354955,71,2668.154541015625
1589828148.7549198,74,1237.5970458984375
1589828434.139319,94,1534.0423583984375
1589828642.5650024,102,2427.120849609375
1589828703.4094052,105,1903.4580078125
1589828749.4200485,106,1925.790283203125
1589828893.330522,113,1598.1787109375
1589829060.301274,126,1077.522705078125
1589829175.425494,139,1282.32373046875
1589829413.4548502,150,1706.383544921875
1589829505.8079588,155,1368.0430908203125
1589829571.2345002,158,1625.04931640625
1589829727.2424362,167,1930.411865234375
1589829895.0925174,178,1923.94970703125
1589829956.6564085,183,1302.4683837890625
1589829988.6307876,185,2262.16162109375
1589829994.9498775,186,1617.689697265625
1589830032.1826904,190,2620.12255859375
1589830084.2246063,198,1529.8516845703125
1589830201.7751627,206,1187.79541015625
1589830216.2169988,207,1429.9146728515625
1589830270.5793846,212,1236.817626953125
1589830406.1481729,223,1424.345947265625
1589830526.8740585,229,6183.546875
1589830648.7208028,234,1616.59423828125
1589830885.855995,249,1071.463134765625
1589830933.846642,255,1891.8148193359375
1589830972.307013,260,1227.7813720703125
1589831027.4511333,267,1454.5745849609375
1589831075.7116628,271,1413.283935546875
1589831095.9636505,273,1446.5125732421875
1589831357.3051624,292,1657.8292236328125
1589831447.3231502,297,2311.67041015625
1589831466.4250147,298,2869.127685546875
1589831593.2795126,303,2333.388427734375
1589831663.970359,308,2040.692138671875
1589831708.3628924,310,3416.224609375
1589831850.2405367,318,2181.146240234375
1589831873.5013132,319,1745.7562255859375
1589832099.6143763,330,1997.0809326171875
1589832227.0320003,339,939.2265625
1589832337.9940622,347,3718.146484375
1589832682.870034,363,1815.244873046875
1589832734.056384,367,1927.737060546875
1589832928.4151816,377,2972.656005859375
1589834121.15557,421,1785.5465087890625
1589834130.7447808,422,2533.587646484375
1589834278.1214886,430,1676.947265625
1589834449.2886314,439,1484.4808349609375
1589834468.124148,441,2231.553955078125
1589834482.8303537,442,1584.4676513671875
1589834507.495559,445,2771.8310546875
1589834664.7930152,451,2338.000244140625
1589834911.7418337,460,1629.41796875
