Configuration,reward_mean,reward_std,min_dst_mean,min_dst_std,track_comp_perc,track_comp_count,curb_hit,obstacle_hit
1,676,781,2.6493147643915647,0.23665086804524857,7.589673913043478,0.5,0.0,99.5
2,11789,1229,3.8415628045102137,0.5664504333635435,98.8233695652174,76.0,0.0,0.5
3,11245,2229,2.499007265421459,0.4734537068902181,94.82336956521739,91.5,0.0,8.5
4,11120,893,4.502246073126547,0.2951512561128121,100.0,100.0,0.0,0.0
5,7180,4888,2.193154713166755,0.47961239944444034,62.4320652173913,56.0,0.0,44.0
6,11065,905,4.132169168157739,0.4105678811299595,100.0,100.0,0.0,0.0
