Configuration,reward_mean,reward_std,min_dst_mean,min_dst_std,track_comp_perc,track_comp_count,curb_hit,obstacle_hit
1,3254,4696,2.4606403830610315,0.4411652944339418,27.53260869565218,13.5,0.0,79.5
2,11440,1297,3.9400388334182948,0.5197691221514491,98.73097826086956,74.5,0.0,0.5
3,8846,4696,2.5714121715722866,0.6378029722514719,71.88586956521738,66.0,0.0,34.0
4,11446,1051,4.53943149210433,0.31026712493493064,100.0,100.0,0.0,0.0
5,5705,4773,2.3719848528010727,0.5221669100907086,50.03260869565217,40.0,0.0,60.0
6,11233,993,4.15958893237,0.43586554217031365,100.0,100.0,0.0,0.0
