Wall time,Step,Value
1589827602.8286254,5,0.1304347813129425
1589827777.9014208,18,0.239130437374115
1589827862.0849726,24,0.17934782803058624
1589828189.6036007,40,0.09239130467176437
1589828216.237115,42,0.30978259444236755
1589828293.1559327,45,0.46195653080940247
1589828502.6798527,53,0.10869564861059189
1589828592.6347957,56,0.46195653080940247
1589829059.9745786,71,0.15760870277881622
1589829168.841675,74,0.5869565010070801
1589829882.6238377,94,0.385869562625885
1589830094.3722534,102,1.0
1589830213.1079938,105,1.0
1589830260.779554,106,1.0
1589830482.3010683,113,1.0
1589830986.507054,126,1.0
1589831423.2736,139,0.64673912525177
1589831836.02025,150,1.0
1589832037.3364668,155,0.60326087474823
1589832113.6319234,158,0.28804346919059753
1589832377.379034,167,1.0
1589832749.395908,178,1.0
1589832844.9895213,183,0.239130437374115
1589832901.4384487,185,1.0
1589832945.2708616,186,1.0
1589833088.8925343,190,1.0
1589833318.8505147,198,0.7228260636329651
1589833613.071268,206,1.0
1589833653.375026,207,1.0
1589833838.95279,212,0.44565218687057495
1589834191.9166293,223,0.30978259444236755
1589834409.2040904,229,1.0
1589834600.5147774,234,1.0
1589835217.78263,249,1.0
1589835446.1856816,255,1.0
1589835605.3191388,260,1.0
1589835843.5387034,267,0.8913043737411499
1589836023.6811829,271,1.0
1589836104.6878004,273,1.0
1589836770.9762297,292,0.364130437374115
1589836937.7942877,297,1.0
1589836980.4806895,298,1.0
1589837189.2278194,303,1.0
1589837400.7968478,308,1.0
1589837482.6228833,310,1.0
1589837824.1858494,318,1.0
1589837860.5087438,319,1.0
1589838326.5144057,330,1.0
1589838681.0483403,339,1.0
1589839020.1671057,347,0.4021739065647125
1589839628.8931296,363,1.0
1589839790.1228082,367,1.0
1589840171.1962073,377,1.0
1589841829.8969893,421,0.6630434989929199
1589841874.8764992,422,1.0
1589842149.834233,430,1.0
1589842532.443257,439,1.0
1589842621.0372758,441,1.0
1589842661.5557277,442,1.0
1589842780.8635995,445,1.0
1589842990.5679944,451,1.0
1589843250.4346232,460,1.0
1589843375.76073,463,1.0
1589843419.3574038,464,1.0
1589843848.9391775,474,0.95652174949646
1589844449.6741905,491,1.0
1589844512.314799,493,1.0
1589845418.6702542,512,1.0
1589845517.488015,514,1.0
1589845655.9316216,517,1.0
1589846005.155789,525,1.0
1589846268.1476896,531,1.0
1589846330.6861591,533,1.0
1589846409.482704,536,0.41304346919059753
1589846660.9349902,542,1.0
1589846905.7668793,547,1.0
1589847343.2312398,557,1.0
1589847569.3231184,563,1.0
1589847836.8116417,569,1.0
1589848037.701353,573,1.0
1589848338.5517857,579,1.0
1589848422.4908793,581,1.0
1589848568.6668398,584,1.0
1589848669.144133,586,1.0
1589848714.8957114,587,1.0
1589848954.3156433,592,1.0
1589849004.3323393,593,1.0
1589849384.3750124,602,1.0
1589849954.2278633,615,0.25
1589850171.1317434,620,0.6630434989929199
1589850239.8283286,622,1.0
1589850793.9244373,634,1.0
1589851103.184782,641,0.864130437374115
1589851148.4015563,642,1.0
1589851204.3132548,644,1.0
1589851356.3243277,647,1.0
1589851452.3174648,649,1.0
1589852014.1521595,661,0.9239130616188049
1589852146.8888867,664,1.0
1589852349.9009671,668,1.0
1589852475.5497477,671,0.5163043737411499
1589852628.5201943,674,1.0
1589852806.8158426,678,1.0
1589852858.7353103,679,1.0
1589853043.269914,683,1.0
1589853220.2775605,688,1.0
1589854146.1311052,706,0.8369565010070801
1589854523.8840573,714,1.0
1589854723.7165163,718,1.0
1589854917.6615148,722,1.0
1589854970.4275508,723,0.9510869383811951
1589855291.3524508,730,1.0
1589855690.7947605,739,1.0
1589855849.808783,743,1.0
1589856008.4685411,747,1.0
1589856213.0472233,752,0.875
1589856371.6466124,756,0.21739129722118378
1589856789.9603531,765,1.0
1589856968.3822622,769,1.0
1589856978.3520837,770,0.10326086729764938
1589857026.928901,771,1.0
1589857118.2899742,773,1.0
