,keys,instances,avg_energy
0,0,0,
1,1,0,
2,2,0,
3,3,292,1.0
4,4,1541,1.0
5,5,3699,0.55
6,6,3045,0.49
7,7,1878,0.55
8,8,1368,0.57
9,9,1103,0.44
10,10,839,0.43
11,11,656,0.4
12,12,507,0.36
13,13,409,0.34
14,14,346,0.35
15,15,331,0.36
16,16,320,0.38
17,17,316,0.4
18,18,315,0.4
19,19,312,0.4
20,>=20,8834,0.33
