,keys,instances,avg_energy
0,0,21,1.0
1,1,623,1.0
2,2,1078,1.0
3,3,1168,1.0
4,4,968,1.0
5,5,852,0.96
6,6,740,0.89
7,7,650,0.9
8,8,582,0.89
9,9,496,0.83
10,10,413,0.77
11,11,327,0.73
12,12,265,0.72
13,13,242,0.72
14,14,233,0.74
15,15,238,0.72
16,16,240,0.74
17,17,241,0.74
18,18,248,0.73
19,19,249,0.74
20,>=20,8094,0.68
