,keys,instances,avg_energy
0,0,6,1.0
1,1,982,1.0
2,2,1812,1.0
3,3,1365,1.0
4,4,1192,1.0
5,5,1052,0.88
6,6,899,0.74
7,7,811,0.75
8,8,733,0.74
9,9,625,0.56
10,10,510,0.45
11,11,391,0.42
12,12,328,0.41
13,13,284,0.4
14,14,281,0.4
15,15,281,0.44
16,16,283,0.43
17,17,274,0.43
18,18,286,0.46
19,19,282,0.4
20,>=20,8233,0.34
