,keys,instances,avg_energy
0,0,0,
1,1,0,
2,2,0,
3,3,281,1.0
4,4,1623,1.0
5,5,3573,0.8
6,6,3237,0.79
7,7,1864,0.81
8,8,1441,0.8
9,9,1127,0.76
10,10,849,0.73
11,11,678,0.71
12,12,479,0.69
13,13,367,0.68
14,14,345,0.69
15,15,331,0.69
16,16,326,0.7
17,17,314,0.71
18,18,314,0.69
19,19,316,0.72
20,>=20,8215,0.67
