,keys,instances,avg_energy
0,0,6,1.0
1,1,962,1.0
2,2,1680,1.0
3,3,1264,1.0
4,4,1104,1.0
5,5,986,0.96
6,6,851,0.88
7,7,781,0.88
8,8,684,0.87
9,9,557,0.81
10,10,473,0.76
11,11,373,0.74
12,12,312,0.7
13,13,281,0.71
14,14,286,0.72
15,15,290,0.72
16,16,286,0.71
17,17,285,0.72
18,18,293,0.72
19,19,282,0.73
20,>=20,8268,0.68
