,keys,instances,avg_energy
0,0,13,1.0
1,1,409,1.0
2,2,873,1.0
3,3,955,1.0
4,4,775,1.0
5,5,669,0.9
6,6,594,0.79
7,7,536,0.79
8,8,502,0.78
9,9,456,0.59
10,10,377,0.5
11,11,317,0.46
12,12,260,0.41
13,13,239,0.44
14,14,225,0.44
15,15,225,0.44
16,16,229,0.47
17,17,239,0.45
18,18,240,0.47
19,19,248,0.44
20,>=20,8335,0.34
