,keys,instances,avg_energy
0,0,0,
1,1,0,
2,2,0,
3,3,181,1.0
4,4,1108,1.0
5,5,3924,0.47
6,6,3400,0.49
7,7,1860,0.54
8,8,1345,0.58
9,9,1112,0.47
10,10,877,0.4
11,11,639,0.41
12,12,458,0.37
13,13,373,0.38
14,14,327,0.39
15,15,327,0.39
16,16,317,0.41
17,17,327,0.41
18,18,325,0.41
19,19,306,0.39
20,>=20,8402,0.33
